,name,party,email
0,Abílio Santana,PL,dep.abiliosantana@camara.leg.br
1,Abou Anni,PSL,dep.abouanni@camara.leg.br
2,Acácio Favacho,PROS,dep.acaciofavacho@camara.leg.br
3,Adolfo Viana,PSDB,dep.adolfoviana@camara.leg.br
4,Adriana Ventura,NOVO,dep.adrianaventura@camara.leg.br
5,Adriano do Baldy,PP,dep.adrianodobaldy@camara.leg.br
6,Aécio Neves,PSDB,dep.aecioneves@camara.leg.br
7,Aelton Freitas,PL,dep.aeltonfreitas@camara.leg.br
8,Afonso Florence,PT,dep.afonsoflorence@camara.leg.br
9,Afonso Hamm,PP,dep.afonsohamm@camara.leg.br
10,Afonso Motta,PDT,dep.afonsomotta@camara.leg.br
11,Aguinaldo Ribeiro,PP,dep.aguinaldoribeiro@camara.leg.br
12,Airton Faleiro,PT,dep.airtonfaleiro@camara.leg.br
13,AJ Albuquerque,PP,dep.ajalbuquerque@camara.leg.br
14,Alan Rick,DEM,dep.alanrick@camara.leg.br
15,Alceu Moreira,MDB,dep.alceumoreira@camara.leg.br
16,Alcides Rodrigues,PATRIOTA,dep.alcidesrodrigues@camara.leg.br
17,Alê Silva,PSL,dep.alesilva@camara.leg.br
18,Alencar Santana Braga,PT,dep.alencarsantanabraga@camara.leg.br
19,Alessandro Molon,PSB,dep.alessandromolon@camara.leg.br
20,Alex Manente,CIDADANIA,dep.alexmanente@camara.leg.br
21,Alex Santana,PDT,dep.alexsantana@camara.leg.br
22,Alexandre Frota,PSDB,dep.alexandrefrota@camara.leg.br
23,Alexandre Leite,DEM,dep.alexandreleite@camara.leg.br
24,Alexandre Padilha,PT,dep.alexandrepadilha@camara.leg.br
25,Alexis Fonteyne,NOVO,dep.alexisfonteyne@camara.leg.br
26,Alice Portugal,PCdoB,dep.aliceportugal@camara.leg.br
27,Aliel Machado,PSB,dep.alielmachado@camara.leg.br
28,Aline Gurgel,REPUBLICANOS,dep.alinegurgel@camara.leg.br
29,Aline Sleutjes,PSL,dep.alinesleutjes@camara.leg.br
30,Altineu Côrtes,PL,dep.altineucortes@camara.leg.br
31,Aluisio Mendes,PSC,dep.aluisiomendes@camara.leg.br
32,Amaro Neto,REPUBLICANOS,dep.amaroneto@camara.leg.br
33,André Abdon,PP,dep.andreabdon@camara.leg.br
34,André de Paula,PSD,dep.andredepaula@camara.leg.br
35,André Ferreira,PSC,dep.andreferreira@camara.leg.br
36,André Figueiredo,PDT,dep.andrefigueiredo@camara.leg.br
37,André Fufuca,PP,dep.andrefufuca@camara.leg.br
38,André Janones,AVANTE,dep.andrejanones@camara.leg.br
39,Angela Amin,PP,dep.angelaamin@camara.leg.br
40,Aníbal Gomes,DEM,dep.anibalgomes@camara.leg.br
41,Antonio Brito,PSD,dep.antoniobrito@camara.leg.br
42,Arlindo Chinaglia,PT,dep.arlindochinaglia@camara.leg.br
43,Arnaldo Jardim,CIDADANIA,dep.arnaldojardim@camara.leg.br
44,Aroldo Martins,REPUBLICANOS,dep.aroldomartins@camara.leg.br
45,Arthur Lira,PP,dep.arthurlira@camara.leg.br
46,Arthur Oliveira Maia,DEM,dep.arthuroliveiramaia@camara.leg.br
47,Átila Lins,PP,dep.atilalins@camara.leg.br
48,Átila Lira,PP,dep.atilalira@camara.leg.br
49,Augusto Coutinho,SOLIDARIEDADE,dep.augustocoutinho@camara.leg.br
50,Áurea Carolina,PSOL,dep.aureacarolina@camara.leg.br
51,Aureo Ribeiro,SOLIDARIEDADE,dep.aureoribeiro@camara.leg.br
52,Bacelar,PODE,dep.bacelar@camara.leg.br
53,Baleia Rossi,MDB,dep.baleiarossi@camara.leg.br
54,Benedita da Silva,PT,dep.beneditadasilva@camara.leg.br
55,Benes Leocádio,REPUBLICANOS,dep.benesleocadio@camara.leg.br
56,Beto Faro,PT,dep.betofaro@camara.leg.br
57,Beto Pereira,PSDB,dep.betopereira@camara.leg.br
58,Beto Rosado,PP,dep.betorosado@camara.leg.br
59,Bia Cavassa,PSDB,dep.biacavassa@camara.leg.br
60,Bia Kicis,PSL,dep.biakicis@camara.leg.br
61,Bibo Nunes,PSL,dep.bibonunes@camara.leg.br
62,Bilac Pinto,DEM,dep.bilacpinto@camara.leg.br
63,Bira do Pindaré,PSB,dep.biradopindare@camara.leg.br
64,Bohn Gass,PT,dep.bohngass@camara.leg.br
65,Bosco Costa,PL,dep.boscocosta@camara.leg.br
66,Bosco Saraiva,SOLIDARIEDADE,dep.boscosaraiva@camara.leg.br
67,Bozzella,PSL,dep.bozzella@camara.leg.br
68,Bruna Furlan,PSDB,dep.brunafurlan@camara.leg.br
69,Cacá Leão,PP,dep.cacaleao@camara.leg.br
70,Camilo Capiberibe,PSB,dep.camilocapiberibe@camara.leg.br
71,Capitão Alberto Neto,REPUBLICANOS,dep.capitaoalbertoneto@camara.leg.br
