,name,party,email
0,Acir Gurgacz,PDT,sen.acirgurgacz@senado.leg.br
1,Alessandro Vieira,CIDADANIA,sen.alessandrovieira@senado.leg.br
2,Alvaro Dias,PODEMOS,sen.alvarodias@senado.leg.br
3,Angelo Coronel,PSD,sen.angelocoronel@senado.leg.br
4,Antonio Anastasia,PSD,sen.antonioanastasia@senado.leg.br
5,Carlos Fávaro,PSD,sen.carlosfavaro@senado.leg.br
6,Carlos Portinho,PL,sen.carlosportinho@senado.leg.br
7,Carlos Viana,PSD,sen.carlosviana@senado.leg.br
8,Chico Rodrigues,DEM,sen.chicorodrigues@senado.leg.br
9,Chiquinho Feitosa,DEM,sen.chiquinhofeitosa@senado.leg.br
10,Cid Gomes,PDT,sen.cidgomes@senado.leg.br
11,Confúcio Moura,MDB,sen.confuciomoura@senado.leg.br
12,Daniella Ribeiro,PP,sen.daniellaribeiro@senado.leg.br
13,Dário Berger,MDB,sen.darioberger@senado.leg.br
14,Davi Alcolumbre,DEM,sen.davialcolumbre@senado.leg.br
15,Eduardo Braga,MDB,sen.eduardobraga@senado.leg.br
16,Eduardo Girão,PODEMOS,sen.eduardogirao@senado.leg.br
17,Eduardo Gomes,MDB,sen.eduardogomes@senado.leg.br
18,Eliane Nogueira,PP, sen.elianenogueira@senado.leg.br
19,Eliziane Gama,CIDADANIA,sen.elizianegama@senado.leg.br
20,Elmano Férrer,PP,sen.elmanoferrer@senado.leg.br
21,Esperidião Amin,PP,sen.esperidiaoamin@senado.leg.br
22,Fabiano Contarato,PT,sen.fabianocontarato@senado.leg.br
23,Fernando Bezerra Coelho,MDB,sen.fernandobezerracoelho@senado.leg.br
24,Fernando Collor,PROS,Sen.fernandocollor@senado.leg.br
25,Flávio Arns,PODEMOS,sen.flavioarns@senado.leg.br
26,Flávio Bolsonaro,PL,sen.flaviobolsonaro@senado.leg.br
27,Giordano,MDB,sen.giordano@senado.leg.br
28,Humberto Costa,PT,sen.humbertocosta@senado.leg.br
29,Irajá,PSD,sen.iraja@senado.leg.br
30,Izalci Lucas,PSDB,sen.izalcilucas@senado.leg.br
31,Jader Barbalho,MDB,sen.jaderbarbalho@senado.leg.br
32,Jaques Wagner,PT,sen.jaqueswagner@senado.leg.br
33,Jarbas Vasconcelos,MDB,sen.jarbasvasconcelos@senado.leg.br
34,Jayme Campos,DEM,Sen.JaymeCampos@senado.leg.br
35,Jean Paul Prates,PT,sen.jeanpaulprates@senado.leg.br
36,Jorge Kajuru,PODEMOS,sen.jorgekajuru@senado.leg.br
37,Jorginho Mello,PL,sen.jorginhomello@senado.leg.br
38,José Aníbal,PSDB,sen.joseanibal@senado.leg.br
39,Kátia Abreu,PP,sen.katiaabreu@senado.leg.br
40,Lasier Martins,PODEMOS,sen.lasiermartins@senado.leg.br
41,Leila Barros,CIDADANIA,sen.leilabarros@senado.leg.br
42,Lucas Barreto,PSD,sen.lucasbarreto@senado.leg.br
43,Luis Carlos Heinze,PP,sen.luiscarlosheinze@senado.leg.br
44,Luiz do Carmo,MDB,sen.luizcarlosdocarmo@senado.leg.br
45,Mailza Gomes,PP,sen.mailzagomes@senado.leg.br
46,Mara Gabrilli,PSDB,sen.maragabrilli@senado.leg.br
47,Marcelo Castro,MDB,sen.marcelocastro@senado.leg.br
48,Marcio Bittar,PSL,sen.marciobittar@senado.leg.br
49,Marcos do Val,PODEMOS,sen.marcosdoval@senado.leg.br
50,Marcos Rogério,PL,sen.marcosrogerio@senado.leg.br
51,Maria do Carmo Alves,DEM,sen.mariadocarmoalves@senado.leg.br
52,Mecias de Jesus,REPUBLICANOS,sen.meciasdejesus@senado.leg.br
53,Nelsinho Trad,PSD,sen.nelsinhotrad@senado.leg.br
54,Nilda Gondim,MDB,sen.nildagondim@senado.leg.br
55,Omar Aziz,PSD,sen.omaraziz@senado.leg.br
56,Oriovisto Guimarães,PODEMOS,sen.oriovistoguimaraes@senado.leg.br
57,Otto Alencar,PSD,sen.ottoalencar@senado.leg.br
58,Paulo Paim,PT,sen.paulopaim@senado.leg.br
59,Paulo Rocha,PT,sen.paulorocha@senado.leg.br
60,Plínio Valério,PSDB,sen.pliniovalerio@senado.leg.br
61,Randolfe Rodrigues,REDE,sen.randolferodrigues@senado.leg.br
62,Reguffe,PODEMOS,sen.reguffe@senado.leg.br
63,Renan Calheiros,MDB,sen.renancalheiros@senado.leg.br
64,Roberto Rocha,PSDB,sen.robertorocha@senado.leg.br
65,Rodrigo Cunha,PSDB,sen.rodrigocunha@senado.leg.br
66,Rodrigo Pacheco,PSD,sen.rodrigopacheco@senado.leg.br
67,Rogério Carvalho,PT,sen.rogeriocarvalho@senado.leg.br
68,Romário,PL,sen.romario@senado.leg.br
69,Rose de Freitas,MDB,sen.rosedefreitas@senado.leg.br
70,Sérgio Petecão,PSD,sen.sergiopetecao@senado.leg.br
71,Simone Tebet,MDB,sen.simonetebet@senado.leg.br
72,Soraya Thronicke,PSL,sen.sorayathronicke@senado.leg.br
73,Styvenson Valentim,PODEMOS,sen.styvensonvalentim@senado.leg.br
74,Telmário Mota,PROS,sen.telmariomota@senado.leg.br
75,Vanderlan Cardoso,PSD,sen.vanderlancardoso@senado.leg.br
76,Veneziano Vital do Rêgo,MDB,sen.venezianovitaldorego@senado.leg.br
77,Wellington Fagundes,PL,sen.wellingtonfagundes@senado.leg.br
78,Weverton,PDT,sen.wevertonrocha@senado.leg.br
79,Zenaide Maia,PROS,sen.zenaidemaia@senado.leg.br
80,Zequinha Marinho,PSC,sen.zequinhamarinho@senado.leg.br
